Lower layer Super Output Areas Code,Lower layer Super Output Areas,Tenure of household (9 categories) Code,Tenure of household (9 categories),Observation
E01026046,East Lindsey 013A,3,Social rented: Rents from council or Local Authority,18
E01026046,East Lindsey 013A,4,Social rented: Other social rented,55
E01026046,East Lindsey 013A,5,Private rented: Private landlord or letting agency,113
E01026046,East Lindsey 013A,6,Private rented: Other private rented,24
E01026046,East Lindsey 013A,7,Lives rent free,0
E01026047,East Lindsey 013B,-8,Does not apply,0
E01026047,East Lindsey 013B,0,Owned: Owns outright,387
E01026047,East Lindsey 013B,1,Owned: Owns with a mortgage or loan,127
E01026047,East Lindsey 013B,2,Shared ownership: Shared ownership,6
E01026047,East Lindsey 013B,3,Social rented: Rents from council or Local Authority,2
E01026047,East Lindsey 013B,4,Social rented: Other social rented,15
E01026047,East Lindsey 013B,5,Private rented: Private landlord or letting agency,77
E01026047,East Lindsey 013B,6,Private rented: Other private rented,10
E01026047,East Lindsey 013B,7,Lives rent free,0
E01026048,East Lindsey 010A,-8,Does not apply,0
E01026048,East Lindsey 010A,0,Owned: Owns outright,373
E01026048,East Lindsey 010A,1,Owned: Owns with a mortgage or loan,82
E01026048,East Lindsey 010A,2,Shared ownership: Shared ownership,16
E01026048,East Lindsey 010A,3,Social rented: Rents from council or Local Authority,13
E01026048,East Lindsey 010A,4,Social rented: Other social rented,61
E01026048,East Lindsey 010A,5,Private rented: Private landlord or letting agency,205
E01026048,East Lindsey 010A,6,Private rented: Other private rented,32
E01026048,East Lindsey 010A,7,Lives rent free,1
E01026049,East Lindsey 010B,-8,Does not apply,0
E01026049,East Lindsey 010B,0,Owned: Owns outright,443
E01026049,East Lindsey 010B,1,Owned: Owns with a mortgage or loan,127
E01026049,East Lindsey 010B,2,Shared ownership: Shared ownership,6
E01026049,East Lindsey 010B,3,Social rented: Rents from council or Local Authority,6
E01026049,East Lindsey 010B,4,Social rented: Other social rented,26
E01026049,East Lindsey 010B,5,Private rented: Private landlord or letting agency,104
E01026049,East Lindsey 010B,6,Private rented: Other private rented,38
E01026049,East Lindsey 010B,7,Lives rent free,0
E01026050,East Lindsey 010C,-8,Does not apply,0
E01026050,East Lindsey 010C,0,Owned: Owns outright,525
E01026050,East Lindsey 010C,1,Owned: Owns with a mortgage or loan,121
E01026050,East Lindsey 010C,2,Shared ownership: Shared ownership,2
E01026050,East Lindsey 010C,3,Social rented: Rents from council or Local Authority,3
E01026050,East Lindsey 010C,4,Social rented: Other social rented,16
E01026050,East Lindsey 010C,5,Private rented: Private landlord or letting agency,125
E01026050,East Lindsey 010C,6,Private rented: Other private rented,26
E01026050,East Lindsey 010C,7,Lives rent free,0
E01026051,East Lindsey 016A,-8,Does not apply,0
E01026051,East Lindsey 016A,0,Owned: Owns outright,288
E01026051,East Lindsey 016A,1,Owned: Owns with a mortgage or loan,217
E01026051,East Lindsey 016A,2,Shared ownership: Shared ownership,8
E01026051,East Lindsey 016A,3,Social rented: Rents from council or Local Authority,0
E01026051,East Lindsey 016A,4,Social rented: Other social rented,26
E01026051,East Lindsey 016A,5,Private rented: Private landlord or letting agency,66
E01026051,East Lindsey 016A,6,Private rented: Other private rented,6
E01026051,East Lindsey 016A,7,Lives rent free,0
E01026052,East Lindsey 016B,-8,Does not apply,0
E01026052,East Lindsey 016B,0,Owned: Owns outright,303
E01026052,East Lindsey 016B,1,Owned: Owns with a mortgage or loan,184
E01026052,East Lindsey 016B,2,Shared ownership: Shared ownership,24
E01026052,East Lindsey 016B,3,Social rented: Rents from council or Local Authority,21
E01026052,East Lindsey 016B,4,Social rented: Other social rented,82
E01026052,East Lindsey 016B,5,Private rented: Private landlord or letting agency,116
E01026052,East Lindsey 016B,6,Private rented: Other private rented,115
E01026052,East Lindsey 016B,7,Lives rent free,0
E01026053,East Lindsey 016C,-8,Does not apply,0
E01026053,East Lindsey 016C,0,Owned: Owns outright,264
E01026053,East Lindsey 016C,1,Owned: Owns with a mortgage or loan,232
E01026053,East Lindsey 016C,2,Shared ownership: Shared ownership,7
E01026053,East Lindsey 016C,3,Social rented: Rents from council or Local Authority,5
E01026053,East Lindsey 016C,4,Social rented: Other social rented,17
E01026053,East Lindsey 016C,5,Private rented: Private landlord or letting agency,143
E01026053,East Lindsey 016C,6,Private rented: Other private rented,112
E01026053,East Lindsey 016C,7,Lives rent free,0
E01026054,East Lindsey 016D,-8,Does not apply,0
E01026054,East Lindsey 016D,0,Owned: Owns outright,225
E01026054,East Lindsey 016D,1,Owned: Owns with a mortgage or loan,172
E01026054,East Lindsey 016D,2,Shared ownership: Shared ownership,4
E01026054,East Lindsey 016D,3,Social rented: Rents from council or Local Authority,37
E01026054,East Lindsey 016D,4,Social rented: Other social rented,100
E01026054,East Lindsey 016D,5,Private rented: Private landlord or letting agency,150
E01026054,East Lindsey 016D,6,Private rented: Other private rented,25
E01026054,East Lindsey 016D,7,Lives rent free,2
E01026055,East Lindsey 013C,-8,Does not apply,0
E01026055,East Lindsey 013C,0,Owned: Owns outright,308
E01026055,East Lindsey 013C,1,Owned: Owns with a mortgage or loan,121
E01026055,East Lindsey 013C,2,Shared ownership: Shared ownership,0
E01026055,East Lindsey 013C,3,Social rented: Rents from council or Local Authority,3
E01026055,East Lindsey 013C,4,Social rented: Other social rented,13
E01026055,East Lindsey 013C,5,Private rented: Private landlord or letting agency,32
E01026055,East Lindsey 013C,6,Private rented: Other private rented,14
E01026055,East Lindsey 013C,7,Lives rent free,0
E01026056,East Lindsey 017A,-8,Does not apply,0
E01026056,East Lindsey 017A,0,Owned: Owns outright,284
E01026056,East Lindsey 017A,1,Owned: Owns with a mortgage or loan,129
E01026056,East Lindsey 017A,2,Shared ownership: Shared ownership,3
E01026056,East Lindsey 017A,3,Social rented: Rents from council or Local Authority,14
E01026056,East Lindsey 017A,4,Social rented: Other social rented,18
E01026056,East Lindsey 017A,5,Private rented: Private landlord or letting agency,46
E01026056,East Lindsey 017A,6,Private rented: Other private rented,27
E01026056,East Lindsey 017A,7,Lives rent free,0
E01026057,East Lindsey 018A,-8,Does not apply,0
E01026057,East Lindsey 018A,0,Owned: Owns outright,446
E01026057,East Lindsey 018A,1,Owned: Owns with a mortgage or loan,217
E01026057,East Lindsey 018A,2,Shared ownership: Shared ownership,2
E01026057,East Lindsey 018A,3,Social rented: Rents from council or Local Authority,9
E01026057,East Lindsey 018A,4,Social rented: Other social rented,27
E01026057,East Lindsey 018A,5,Private rented: Private landlord or letting agency,96
E01026057,East Lindsey 018A,6,Private rented: Other private rented,68
E01026057,East Lindsey 018A,7,Lives rent free,0
E01026058,East Lindsey 002A,-8,Does not apply,0
E01026058,East Lindsey 002A,0,Owned: Owns outright,525
E01026058,East Lindsey 002A,1,Owned: Owns with a mortgage or loan,310
E01026058,East Lindsey 002A,2,Shared ownership: Shared ownership,5
E01026058,East Lindsey 002A,3,Social rented: Rents from council or Local Authority,10
E01026058,East Lindsey 002A,4,Social rented: Other social rented,53
E01026058,East Lindsey 002A,5,Private rented: Private landlord or letting agency,92
E01026058,East Lindsey 002A,6,Private rented: Other private rented,24
E01026058,East Lindsey 002A,7,Lives rent free,0
E01026059,East Lindsey 013D,-8,Does not apply,0
E01026059,East Lindsey 013D,0,Owned: Owns outright,304
E01026059,East Lindsey 013D,1,Owned: Owns with a mortgage or loan,103
