Local authority code,Local authority,MSOA code,Middle layer super output area,LSOA code,Lower layer super output area,"Number of 
domestic 
properties","Number of 
domestic 
gas meters","Estimated number 
of properties not 
on the gas grid","Estimated percentage
of properties not 
on the gas grid"
E07000136,Boston,E02005423,Boston 007,E01026017,Boston 007A,720,,,
E07000136,Boston,E02005423,Boston 007,E01026018,Boston 007B,770,359,411,53.38
E07000136,Boston,E02005423,Boston 007,E01026019,Boston 007C,1190,987,203,17.06
E07000136,Boston,E02005423,Boston 007,E01026020,Boston 007D,1010,1068,0,0
E07000136,Boston,E02005423,Boston 007,E01026041,Boston 007E,640,581,59,9.22
E07000136,Boston,E02006864,Boston 008,E01026013,Boston 008A,620,564,56,9.03
E07000136,Boston,E02006864,Boston 008,E01026014,Boston 008B,790,698,92,11.65
E07000136,Boston,E02006864,Boston 008,E01026022,Boston 008C,830,809,21,2.53
E07000136,Boston,E02006864,Boston 008,E01026038,Boston 008D,600,604,0,0
E07000136,Boston,E02006864,Boston 008,E01026040,Boston 008E,560,611,0,0
E07000136,Boston,E02006865,Boston 009,E01026031,Boston 009B,700,694,6,0.86
E07000136,Boston,E02006865,Boston 009,E01026035,Boston 009C,1000,1080,0,0
E07000136,Boston,E02006865,Boston 009,E01026039,Boston 009D,510,491,19,3.73
E07000136,Boston,E02006865,Boston 009,E01034683,Boston 009E,570,497,73,12.81
E07000136,Boston,E02006865,Boston 009,E01034684,Boston 009F,520,560,0,0
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026045,East Lindsey 001A,910,375,535,58.79
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026061,East Lindsey 001B,510,503,7,1.37
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026062,East Lindsey 001C,530,486,44,8.3
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026063,East Lindsey 001D,630,702,0,0
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026080,East Lindsey 001E,920,16,904,98.26
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026106,East Lindsey 001F,540,497,43,7.96
E07000137,East Lindsey,E02005424,East Lindsey 001,E01026107,East Lindsey 001G,520,153,367,70.58
E07000137,East Lindsey,E02005425,East Lindsey 002,E01026058,East Lindsey 002A,1000,658,342,34.2
E07000137,East Lindsey,E02005425,East Lindsey 002,E01026076,East Lindsey 002B,1010,,,
E07000137,East Lindsey,E02005425,East Lindsey 002,E01026079,East Lindsey 002C,900,,,
E07000137,East Lindsey,E02005426,East Lindsey 003,E01026077,East Lindsey 003A,590,588,2,0.34
E07000137,East Lindsey,E02005426,East Lindsey 003,E01026078,East Lindsey 003B,500,476,24,4.8
E07000137,East Lindsey,E02005426,East Lindsey 003,E01026087,East Lindsey 003C,530,604,0,0
E07000137,East Lindsey,E02005426,East Lindsey 003,E01026088,East Lindsey 003D,650,614,36,5.54
E07000137,East Lindsey,E02005426,East Lindsey 003,E01026090,East Lindsey 003E,560,561,0,0
E07000137,East Lindsey,E02005426,East Lindsey 003,E01026091,East Lindsey 003F,530,485,45,8.49
E07000137,East Lindsey,E02005426,East Lindsey 003,E01026108,East Lindsey 003G,1110,1119,0,0
E07000137,East Lindsey,E02005427,East Lindsey 004,E01026081,East Lindsey 004A,1340,1281,59,4.4
E07000137,East Lindsey,E02005427,East Lindsey 004,E01026089,East Lindsey 004C,1030,982,48,4.66
E07000137,East Lindsey,E02005427,East Lindsey 004,E01032986,East Lindsey 004D,640,591,49,7.66
E07000137,East Lindsey,E02005427,East Lindsey 004,E01032987,East Lindsey 004E,750,703,47,6.27
E07000137,East Lindsey,E02005428,East Lindsey 005,E01026072,East Lindsey 005A,1080,1036,44,4.07
E07000137,East Lindsey,E02005428,East Lindsey 005,E01026073,East Lindsey 005B,1090,1016,74,6.79
E07000137,East Lindsey,E02005428,East Lindsey 005,E01026074,East Lindsey 005C,1200,962,238,19.83
E07000137,East Lindsey,E02005428,East Lindsey 005,E01026099,East Lindsey 005D,980,53,927,94.59
E07000137,East Lindsey,E02005429,East Lindsey 006,E01026103,East Lindsey 006A,1100,1030,70,6.36
E07000137,East Lindsey,E02005429,East Lindsey 006,E01026104,East Lindsey 006B,1280,1224,56,4.37
E07000137,East Lindsey,E02005429,East Lindsey 006,E01026109,East Lindsey 006C,1320,1104,216,16.36
E07000137,East Lindsey,E02005430,East Lindsey 007,E01026071,East Lindsey 007A,1000,,,
E07000137,East Lindsey,E02005430,East Lindsey 007,E01026082,East Lindsey 007B,1070,252,818,76.45
E07000137,East Lindsey,E02005430,East Lindsey 007,E01026121,East Lindsey 007C,1220,,,
E07000137,East Lindsey,E02005431,East Lindsey 008,E01026042,East Lindsey 008A,800,798,2,0.25
