Scope,Split,Model,RMSE,MAE,R2,Dir_Acc_%,Decile_Exact_%,Decile_Within_1_%
lincolnshire,Test (2021),Multimodal ElasticNet,0.2688421130285015,0.2015226486462668,0.8430551032562503,79.52380952380952,42.142857142857146,80.95238095238095
lincolnshire,Test (2022),Multimodal ElasticNet,0.2335770999446531,0.1880543800411439,0.8790681113373966,69.28571428571428,35.95238095238095,81.66666666666667
lincolnshire,Validation (2019 Pre-COVID),Multimodal Random Forest,0.3264507526860214,0.2415903513326791,0.7817276961956454,83.0952380952381,40.0,75.23809523809524
lincolnshire,Test (2020-2022 Aggregate),Multimodal Random Forest,0.268799263848319,0.2039410693821862,0.8409490159583509,71.03174603174604,39.20634920634921,79.92063492063492
lincolnshire,Test (2020),Multimodal Random Forest,0.2521241166493653,0.1945084581244424,0.8429717522883267,68.0952380952381,42.85714285714285,80.71428571428572
lincolnshire,Test (2021),Multimodal Random Forest,0.2731504973697398,0.2047709885686043,0.8379844909931893,77.14285714285715,39.285714285714285,80.47619047619048
lincolnshire,Test (2022),Multimodal Random Forest,0.2803236849191228,0.212543761453512,0.825819353412098,67.85714285714286,33.80952380952381,79.52380952380952
lincolnshire,Validation (2019 Pre-COVID),Multimodal Extra-Trees,0.3303931996552366,0.2441074561896126,0.7764238447725574,83.80952380952381,40.0,76.19047619047619
lincolnshire,Test (2020-2022 Aggregate),Multimodal Extra-Trees,0.2723910376554983,0.2034601836563494,0.8366700464216057,70.31746031746032,39.04761904761905,79.84126984126985
lincolnshire,Test (2020),Multimodal Extra-Trees,0.2476964912732949,0.1901956885394152,0.8484385629334696,68.80952380952381,39.04761904761905,80.0
lincolnshire,Test (2021),Multimodal Extra-Trees,0.2824876611820421,0.2101542336241278,0.8267187531773552,76.42857142857142,40.0,79.76190476190477
lincolnshire,Test (2022),Multimodal Extra-Trees,0.2853730920670616,0.2100306288055053,0.8194878855551787,65.71428571428571,33.80952380952381,79.28571428571428
lincolnshire,Validation (2019 Pre-COVID),Multimodal LightGBM,0.338512928017294,0.2483495120475322,0.765299614793399,80.71428571428572,38.80952380952381,77.38095238095238
lincolnshire,Test (2020-2022 Aggregate),Multimodal LightGBM,0.2786607300269398,0.2083121825015951,0.8290647027717217,70.55555555555556,40.79365079365079,78.96825396825396
lincolnshire,Test (2020),Multimodal LightGBM,0.2554223218333097,0.195388548728492,0.8388364957238128,69.28571428571428,41.42857142857143,80.71428571428572
lincolnshire,Test (2021),Multimodal LightGBM,0.286955127717016,0.2110580770136054,0.8211946217326682,77.14285714285715,39.523809523809526,77.85714285714286
lincolnshire,Test (2022),Multimodal LightGBM,0.292184187737176,0.2184899217626878,0.8107683700488988,65.23809523809524,33.57142857142857,77.61904761904762
lincolnshire,Validation (2019 Pre-COVID),Multimodal XGBoost,0.3320578022917383,0.245409338212149,0.7741653056219937,80.23809523809524,39.04761904761905,75.95238095238095
lincolnshire,Test (2020-2022 Aggregate),Multimodal XGBoost,0.2792269044253936,0.2063151667133552,0.828369394856751,70.95238095238095,40.3968253968254,79.04761904761905
lincolnshire,Test (2020),Multimodal XGBoost,0.2441108878467229,0.1876223764324127,0.8527947477808692,70.0,41.19047619047619,81.66666666666667
lincolnshire,Test (2021),Multimodal XGBoost,0.2868868085606663,0.2120783258113913,0.8212797526623696,75.95238095238095,40.23809523809524,77.85714285714286
