Scope,Split,Model,RMSE,MAE,R2,Dir_Acc_%,Decile_Exact_%,Decile_Within_1_%
national,Test (2019),Multimodal Random Forest,0.3022925104295096,0.22473734354062708,0.8941116424858944,77.82547801729388,47.010108391182555,88.04956765314822
national,Validation (2017),Multimodal Extra-Trees,0.27062966978225994,0.20360601457837676,0.8992018290361498,75.41407867494824,46.76957739617586,87.8181707465595
national,Test (2018-2019 Aggregate),Multimodal Extra-Trees,0.3130858528014326,0.23381181935923032,0.8837239214904222,77.38704177323103,46.52447935696017,87.120935330654
national,Test (2018),Multimodal Extra-Trees,0.30671161644622735,0.22858846307218827,0.8823517249386018,78.43746194129825,45.51516258677384,86.39020825721593
national,Test (2019),Multimodal Extra-Trees,0.31933287770873664,0.23903517564627236,0.8818372181875469,76.3366216051638,47.107538667640966,87.97345024966509
national,Validation (2017),Multimodal LightGBM,0.2686678351340313,0.20187782851659258,0.9006579338842124,75.64547558153696,46.91267811472415,88.13481914504932
national,Test (2018-2019 Aggregate),Multimodal LightGBM,0.3063954429825372,0.22559300602753646,0.888640289770028,78.11167945439045,46.96291560102302,87.36907806600901
national,Test (2018),Multimodal LightGBM,0.30500849804727037,0.22544264771454717,0.8836546598357996,78.4435513335769,45.85616855437827,86.52417488734623
national,Test (2019),Multimodal LightGBM,0.3077761379312546,0.22574336434052578,0.8902351397917474,77.77980757520399,47.3754719279016,88.25660699062233
national,Validation (2017),Multimodal XGBoost,0.2678513667455552,0.20122199182859074,0.9012608077820323,75.67592254293022,46.952259164535384,88.21398124467179
national,Test (2018-2019 Aggregate),Multimodal XGBoost,0.30468702300489436,0.2245689909919998,0.889878681241566,78.13299232736573,46.955303860674704,87.40256972354159
national,Test (2018),Multimodal XGBoost,0.3036085290199454,0.22459125734091118,0.8847202437114654,78.3217634880039,46.02058214590184,86.58506881013275
national,Test (2019),Multimodal XGBoost,0.3057617129097674,0.22454672464308845,0.8916672812108971,77.94422116672756,47.37242723176227,88.25356229448302
national,Validation (2017),Multimodal CatBoost,0.26953560109444596,0.20248488683638285,0.9000151708194123,75.59067105102912,46.9796614297893,88.0830593106808
national,Test (2018-2019 Aggregate),Multimodal CatBoost,0.30769100561489526,0.22653722529017278,0.8876965518283663,78.21215442698819,47.011630739252226,87.46194129825844
national,Test (2018),Multimodal CatBoost,0.30535376573987383,0.2259315116672044,0.8833911063698694,78.53793691389599,46.008403361344534,86.59420289855072
national,Test (2019),Multimodal CatBoost,0.31001062501322313,0.22714293891314125,0.8886355453582675,77.88637194008038,47.18061137498478,88.26574107904031
national,Validation (2017),Explainable Boosting Machine (EBM),0.2783524804770815,0.206591107321527,0.893366901731432,75.36840823285836,46.67214711971745,87.91255632687857
national,Test (2018-2019 Aggregate),Explainable Boosting Machine (EBM),0.32037921899392297,0.22972031100554904,0.8782434972082749,77.78894166362197,46.51991231275119,87.35233223724272
national,Test (2018),Explainable Boosting Machine (EBM),0.3144885306724169,0.22772681339678494,0.876309957931285,78.19084155401292,45.71306783582998,86.64900742905857
national,Test (2019),Explainable Boosting Machine (EBM),0.3261635356716265,0.23171380861431312,0.8767280545821422,77.38704177323103,46.90354402630618,88.04652295700889
national,Validation (2017),Stacking Ensemble (Super Learner),0.26667913339370863,0.2013270488668403,0.9021231673791693,75.50237486298867,46.97357203751066,88.1439532334673
national,Test (2018-2019 Aggregate),Stacking Ensemble (Super Learner),0.29630421851872624,0.22142848845086632,0.8958548240736633,78.53336986968701,46.92790159542078,87.46194129825844
national,Test (2018),Stacking Ensemble (Super Learner),0.298454669184054,0.22266980261961225,0.8886008519284524,78.58360735598588,46.069297284131046,86.68249908659116
national,Test (2019),Stacking Ensemble (Super Learner),0.29413804627457335,0.2201871742821205,0.8997473539574651,78.48313238338814,47.52161734258921,88.27183047131896
