Scope,Split,Model,RMSE,MAE,R2,Dir_Acc_%,Decile_Exact_%,Decile_Within_1_%
national,Test (2020-2022 Aggregate),Multimodal ElasticNet,0.31921877210269484,0.24819226093570868,0.8771151664623993,61.62262006251776,46.85076929322454,87.6496975601835
national,Test (2020),Multimodal ElasticNet,0.3386256071426888,0.26423496925682943,0.854347082760922,54.378273048349776,46.489465351357936,87.3858238947753
national,Test (2021),Multimodal ElasticNet,0.28322081855145465,0.21569035114405938,0.9054060820838978,76.98818657897942,48.52332237242723,88.83814395323347
national,Test (2022),Multimodal ElasticNet,0.33289719060777007,0.26465146240623716,0.8661445465850084,53.50140056022409,49.08354646206309,89.26744610887833
national,Validation (2019),Multimodal Random Forest,0.29313941697318807,0.21967144984333734,0.9004269347211857,78.34916575325782,47.250639386189256,88.09828279137743
national,Test (2020-2022 Aggregate),Multimodal Random Forest,0.327043027885955,0.2537256707073019,0.8710173694171455,61.43790849673203,46.35752851865384,87.30970649129218
national,Test (2020),Multimodal Random Forest,0.3456995837279439,0.2689701037490327,0.8481980651175716,54.04640116916332,46.25502374862989,87.18791864571915
national,Test (2021),Multimodal Random Forest,0.2869337097753317,0.21865101885334742,0.9029096619864788,76.88771160638169,47.93874071367677,88.57934478139082
national,Test (2022),Multimodal Random Forest,0.3450105364642253,0.2735558895195253,0.8562259435120896,53.37961271465108,48.374132261600295,88.99037876019973
national,Validation (2019),Multimodal Extra-Trees,0.2944165334228194,0.22103347489591996,0.8995574275564912,78.37961271465107,47.02837656801851,87.94909268055048
national,Test (2020-2022 Aggregate),Multimodal Extra-Trees,0.3205050359259144,0.2477130968565965,0.8761228641374268,61.364835789388216,46.46307798481711,87.37973450249666
national,Test (2020),Multimodal Extra-Trees,0.34144657757330593,0.26518116347662557,0.8519102083910165,53.89416636219705,45.96882231153331,87.10266715381805
national,Test (2021),Multimodal Extra-Trees,0.2867351849436366,0.21803790609751889,0.9030439660043028,76.80246011448058,47.88698087930825,88.45451223967848
national,Test (2022),Multimodal Extra-Trees,0.33070772978633256,0.25992022099564527,0.8678994878468507,53.39788089148703,48.252344416027285,88.76507124588966
